id,date,recommend_log_id,recommended_sectors,risk_sectors,sector_reasoning,regime_label,key_news_snippet,used_insight_ids,outcome,outcome_date,outcome_note,created_at,pool_sectors,pool_outcomes
17,2026-08-24,14,"[""一般金属及矿石"", ""石油及天然气"", ""农业"", ""港口航运""]","[""保险"", ""基本金属""]","大盘状态：沪深300收盘4,618.90点，位于EMA60（4,763.51）下方，近6日走势震荡偏弱，量化候选池regime已标记为BEAR，判定为熊市环境。推荐逻辑：1）一般金属及矿石——贵金属领涨板块+3.07%居首，黄金概念主力净流入9.7亿，美元走弱叠加美债危机叙事驱动避险需求，地缘冲突背景下贵金属逻辑最强；2）石油及天然气——伊朗对美经济战言辞激烈，威胁封锁霍尔木兹海峡，若冲突升级将显著推升油价，中东地缘溢价仍存上行空间；3）农业——生猪价格8月中旬环比涨5.8%，政策明确稳猪价稳生产，种植业板块+2.51%，资金净流入1.96亿，基本面与资金面共振；4）港口航运——一带一路持续推进，海南文昌航空航天论坛举办叠加贸易物流需求修复，基金覆盖34只流动性充裕。风险板块：保险短期跟涨但缺乏持续性催化，市场博弈下估值修复动能有限；基本金属虽获主力资金流入但60日仍-1.6%，上方压力较大。否决权行使：候选池12个赛道均无明显政策利空或逻辑证伪，故未行使否决权。",BEAR,,[],待定,,,2026-08-24 04:43:34,"[""一般金属及矿石"", ""工用运输"", ""保险"", ""农业"", ""地产"", ""石油及天然气"", ""轨道交通设备"", ""化学原料"", ""基本金属"", ""专业零售"", ""家庭电器及用品"", ""港口航运""]",
18,2026-08-24,15,"[""一般金属及矿石"", ""石油及天然气"", ""农业"", ""港口航运""]","[""保险"", ""基本金属""]","大盘状态：沪深300收盘4,618.90点，位于EMA60（4,763.51）下方，近6日走势震荡偏弱，量化候选池regime已标记为BEAR，判定为熊市环境。推荐逻辑：1）一般金属及矿石——贵金属领涨板块+3.07%居首，黄金概念主力净流入9.7亿，美元走弱叠加美债危机叙事驱动避险需求，地缘冲突背景下贵金属逻辑最强；2）石油及天然气——伊朗对美经济战言辞激烈，威胁封锁霍尔木兹海峡，若冲突升级将显著推升油价，中东地缘溢价仍存上行空间；3）农业——生猪价格8月中旬环比涨5.8%，政策明确稳猪价稳生产，种植业板块+2.51%，资金净流入1.96亿，基本面与资金面共振；4）港口航运——一带一路持续推进，海南文昌航空航天论坛举办叠加贸易物流需求修复，基金覆盖34只流动性充裕。风险板块：保险短期跟涨但缺乏持续性催化，市场博弈下估值修复动能有限；基本金属虽获主力资金流入但60日仍-1.6%，上方压力较大。否决权行使：候选池12个赛道均无明显政策利空或逻辑证伪，故未行使否决权。",BEAR,,[],待定,,,2026-08-24 04:43:44,"[""一般金属及矿石"", ""工用运输"", ""保险"", ""农业"", ""地产"", ""石油及天然气"", ""轨道交通设备"", ""化学原料"", ""基本金属"", ""专业零售"", ""家庭电器及用品"", ""港口航运""]",
19,2026-08-25,16,"[""工用运输"", ""石油及天然气"", ""银行"", ""建筑施工""]","[""地产"", ""保险""]",大盘收于EMA60下方且连续走弱，技术面处于熊市。量化候选池中，优先选择有增量政策/事件驱动且未被追高降权的方向：工用运输受前7月货运量增长、外贸新航线开通及中东航运受阻推升运费影响，景气度向上；石油及天然气因美国对伊朗经济孤立、霍尔木兹海峡供应风险，油价存在上行支撑；银行直接受益于央行5000亿MLF和隔夜逆回购组合拳，流动性充裕稳定息差预期；建筑施工受“两重”建设、地方投资回稳政策催化，基建项目加快落地。否决一般金属及矿石（贵金属跳水拖累有色）、煤炭（追高且无新增催化）；地产虽有公积金政策但趋势偏弱、追高降权，保险同样追高且缺乏资金流入，列为风险回避。,BEAR,,[],待定,,,2026-08-25 04:44:19,"[""一般金属及矿石"", ""工用运输"", ""保险"", ""煤炭"", ""石油及天然气"", ""地产"", ""建筑施工"", ""轨道交通设备"", ""公用事业"", ""银行""]",
20,2026-08-25,17,"[""工用运输"", ""石油及天然气"", ""银行"", ""建筑施工""]","[""地产"", ""保险""]",大盘收于EMA60下方且连续走弱，技术面处于熊市。量化候选池中，优先选择有增量政策/事件驱动且未被追高降权的方向：工用运输受前7月货运量增长、外贸新航线开通及中东航运受阻推升运费影响，景气度向上；石油及天然气因美国对伊朗经济孤立、霍尔木兹海峡供应风险，油价存在上行支撑；银行直接受益于央行5000亿MLF和隔夜逆回购组合拳，流动性充裕稳定息差预期；建筑施工受“两重”建设、地方投资回稳政策催化，基建项目加快落地。否决一般金属及矿石（贵金属跳水拖累有色）、煤炭（追高且无新增催化）；地产虽有公积金政策但趋势偏弱、追高降权，保险同样追高且缺乏资金流入，列为风险回避。,BEAR,,[],待定,,,2026-08-25 04:44:29,"[""一般金属及矿石"", ""工用运输"", ""保险"", ""煤炭"", ""石油及天然气"", ""地产"", ""建筑施工"", ""轨道交通设备"", ""公用事业"", ""银行""]",
21,2026-08-26,18,"[""一般金属及矿石"", ""建筑施工"", ""工用运输"", ""煤炭""]","[""保险"", ""地产""]",当前大盘处于熊市（收盘价位于EMA60下方），但政策面积极信号密集：工信部部署“十五五”新型工业化与原材料工业高质量发展，对一般金属及矿石形成直接利好；国家发改委推进“六张网”投融资机制，明确支持水网、物流网、地下管网等重大工程，建筑施工和工用运输直接受益；煤炭供给约束与产能治理预期增强，且基金数量多、流动性好，具备防御属性。因此推荐以上赛道。保险虽受金融板块情绪带动，但自身动能不足且有追高降权提示；地产政策托底但基本面尚未反转，60日深度下跌，反弹不确定性大，列为风险。小家电和公用事业缺乏明确产业逻辑，予以否决。,BEAR,,[],待定,,,2026-08-26 05:47:23,"[""一般金属及矿石"", ""工用运输"", ""建筑施工"", ""煤炭"", ""保险"", ""地产"", ""公用事业"", ""小家电""]",
22,2026-08-26,19,"[""一般金属及矿石"", ""建筑施工"", ""工用运输"", ""煤炭""]","[""保险"", ""地产""]",当前大盘处于熊市（收盘价位于EMA60下方），但政策面积极信号密集：工信部部署“十五五”新型工业化与原材料工业高质量发展，对一般金属及矿石形成直接利好；国家发改委推进“六张网”投融资机制，明确支持水网、物流网、地下管网等重大工程，建筑施工和工用运输直接受益；煤炭供给约束与产能治理预期增强，且基金数量多、流动性好，具备防御属性。因此推荐以上赛道。保险虽受金融板块情绪带动，但自身动能不足且有追高降权提示；地产政策托底但基本面尚未反转，60日深度下跌，反弹不确定性大，列为风险。小家电和公用事业缺乏明确产业逻辑，予以否决。,BEAR,,[],待定,,,2026-08-26 05:47:32,"[""一般金属及矿石"", ""工用运输"", ""建筑施工"", ""煤炭"", ""保险"", ""地产"", ""公用事业"", ""小家电""]",
23,2026-08-27,20,"[""一般金属及矿石"", ""保险"", ""地产"", ""水泥""]",[],当前沪深300收盘价位于60日均线下方，近6日横盘整理，整体处于熊市格局，政策与产业利好更多是结构性机会。推荐逻辑基于新闻增量：1-7月工业企业利润同比增长17.6%，其中原材料制造业利润增长55.2%，有色行业利润大增91.8%，直接利好一般金属及矿石；多家上市险企因投资端收益改善实现利润高增长，且机构建议资金从港股回流A股，大金融板块中保险更具确定性；多地密集出台稳楼市政策为‘金九银十’蓄势，地产及产业链景气预期修复，水泥作为地产链上游且估值与涨幅相对温和，具备跟随反弹潜力。否决的行业多为缺乏新闻催化、流动性差或产业逻辑转弱的方向，如互联网金融监管风险、旅游消费旺季结束、小家电无政策支持等。,BEAR,,[],待定,,,2026-08-27 05:48:04,"[""一般金属及矿石"", ""保险"", ""其他医疗保健"", ""其他金融"", ""互联网金融"", ""旅游及消闲设施"", ""地产"", ""煤炭"", ""小家电"", ""水泥"", ""金属制品"", ""钢铁""]",
24,2026-08-27,21,"[""一般金属及矿石"", ""保险"", ""地产"", ""水泥""]",[],当前沪深300收盘价位于60日均线下方，近6日横盘整理，整体处于熊市格局，政策与产业利好更多是结构性机会。推荐逻辑基于新闻增量：1-7月工业企业利润同比增长17.6%，其中原材料制造业利润增长55.2%，有色行业利润大增91.8%，直接利好一般金属及矿石；多家上市险企因投资端收益改善实现利润高增长，且机构建议资金从港股回流A股，大金融板块中保险更具确定性；多地密集出台稳楼市政策为‘金九银十’蓄势，地产及产业链景气预期修复，水泥作为地产链上游且估值与涨幅相对温和，具备跟随反弹潜力。否决的行业多为缺乏新闻催化、流动性差或产业逻辑转弱的方向，如互联网金融监管风险、旅游消费旺季结束、小家电无政策支持等。,BEAR,,[],待定,,,2026-08-27 05:49:36,"[""一般金属及矿石"", ""保险"", ""其他医疗保健"", ""其他金融"", ""互联网金融"", ""旅游及消闲设施"", ""地产"", ""煤炭"", ""小家电"", ""水泥"", ""金属制品"", ""钢铁""]",
25,2026-08-28,22,"[""保险"", ""煤炭"", ""农业"", ""轨道交通设备"", ""互联网金融""]","[""稀有金属"", ""基本金属"", ""一般金属及矿石"", ""航空航天装备"", ""其他金融""]",大盘沪深300收盘价位于EMA60下方，技术面处于熊市，策略上以防御和政策驱动为主线。保险板块受益于龙头业绩爆发（中国人寿净利同比增长228.6%），盈利确定性高，适合弱市防御；煤炭低估值高股息，涨幅温和，具备避险属性；农业受今日种植业领涨及乡村振兴政策催化，短期资金关注度高；轨道交通设备获《物流网建设实施方案》直接政策利好，明确推动物流基础设施联网升级；互联网金融受益于云南等地并购重组政策及数据资产国家标准9月实施，资本市场活跃度提升预期。风险方面，金属类板块短期涨幅过快且资金流入持续性不足，航空航天装备受地缘事件驱动但缺乏基本面支撑，其他金融基金规模过小。综合判断，在熊市环境下优先选取业绩防御与政策催化兼备的赛道。,BEAR,,[],负,2026-09-12,退出时收益 -4.95%,2026-08-28 05:45:32,"[""互联网金融"", ""其他金融"", ""一般金属及矿石"", ""保险"", ""农业"", ""其他医疗保健"", ""稀有金属"", ""航空航天装备"", ""煤炭"", ""互联网技术"", ""轨道交通设备"", ""基本金属""]",{}
26,2026-08-28,23,"[""保险"", ""煤炭"", ""农业"", ""轨道交通设备"", ""互联网金融""]","[""稀有金属"", ""基本金属"", ""一般金属及矿石"", ""航空航天装备"", ""其他金融""]",大盘沪深300收盘价位于EMA60下方，技术面处于熊市，策略上以防御和政策驱动为主线。保险板块受益于龙头业绩爆发（中国人寿净利同比增长228.6%），盈利确定性高，适合弱市防御；煤炭低估值高股息，涨幅温和，具备避险属性；农业受今日种植业领涨及乡村振兴政策催化，短期资金关注度高；轨道交通设备获《物流网建设实施方案》直接政策利好，明确推动物流基础设施联网升级；互联网金融受益于云南等地并购重组政策及数据资产国家标准9月实施，资本市场活跃度提升预期。风险方面，金属类板块短期涨幅过快且资金流入持续性不足，航空航天装备受地缘事件驱动但缺乏基本面支撑，其他金融基金规模过小。综合判断，在熊市环境下优先选取业绩防御与政策催化兼备的赛道。,BEAR,,[],待定,,,2026-08-28 05:45:49,"[""互联网金融"", ""其他金融"", ""一般金属及矿石"", ""保险"", ""农业"", ""其他医疗保健"", ""稀有金属"", ""航空航天装备"", ""煤炭"", ""互联网技术"", ""轨道交通设备"", ""基本金属""]",
27,2026-08-31,24,"[""钢铁"", ""建筑施工"", ""航空航天装备"", ""煤炭"", ""互联网金融""]","[""农业"", ""休闲服务"", ""轨道交通设备""]",沪深300收盘价位于60日均线下方，大盘处于熊市，需防御与事件驱动兼顾。地缘冲突（美伊互袭、霍尔木兹海峡关闭）利好国防军工与能源安全，航空航天装备超跌反弹、煤炭受益能源价格上行；国内房地产重磅政策出台，钢铁与建筑施工作为地产链直接受益；互联网金融受益于人工智能金融科技和互联网景气，且中期超跌，短期动量启动。农业虽强但追高风险大，休闲服务与轨道交通设备缺乏明确催化，均予规避。,BEAR,,[],待定,,,2026-08-31 05:54:58,"[""互联网金融"", ""农业"", ""一般金属及矿石"", ""其他金融"", ""基础建设"", ""轨道交通设备"", ""煤炭"", ""休闲服务"", ""其他医疗保健"", ""钢铁"", ""航空航天装备"", ""建筑施工""]",
28,2026-08-31,25,"[""钢铁"", ""建筑施工"", ""航空航天装备"", ""煤炭"", ""互联网金融""]","[""农业"", ""休闲服务"", ""轨道交通设备""]",沪深300收盘价位于60日均线下方，大盘处于熊市，需防御与事件驱动兼顾。地缘冲突（美伊互袭、霍尔木兹海峡关闭）利好国防军工与能源安全，航空航天装备超跌反弹、煤炭受益能源价格上行；国内房地产重磅政策出台，钢铁与建筑施工作为地产链直接受益；互联网金融受益于人工智能金融科技和互联网景气，且中期超跌，短期动量启动。农业虽强但追高风险大，休闲服务与轨道交通设备缺乏明确催化，均予规避。,BEAR,,[],待定,,,2026-08-31 05:55:06,"[""互联网金融"", ""农业"", ""一般金属及矿石"", ""其他金融"", ""基础建设"", ""轨道交通设备"", ""煤炭"", ""休闲服务"", ""其他医疗保健"", ""钢铁"", ""航空航天装备"", ""建筑施工""]",
29,2026-09-01,26,"[""计算机软件"", ""互联网服务"", ""农业"", ""休闲服务"", ""互联网金融""]","[""航空航天装备"", ""电子设备制造"", ""通用设备"", ""合成纤维及树脂"", ""钢铁""]",大盘处于熊市（收盘价低于EMA60），应以防御和结构性机会为主。新闻显示AI与数字经济政策密集（高盛AI资本开支、AI应用服务商培育、中国-东盟数字经济合作），利好计算机软件和互联网服务；非银金融获主力资金最大净流入，且杭州支持券商并购重组，互联网金融受益；种植业/农林牧渔领涨且农业板块60日为正，具备防御属性；七部门推动商品消费扩容升级叠加中秋消费月，休闲服务有催化。故推荐上述5个赛道。风险方面，互联网技术短期涨幅过大被否决，机器人中期趋势过弱被否决；其余追高降权的周期/制造板块缺乏新增利好，列为回避。,BEAR,,[],负,2026-09-01,退出时收益 +0.00%,2026-09-01 05:42:51,"[""互联网金融"", ""计算机软件"", ""互联网技术"", ""机器人"", ""航空航天装备"", ""农业"", ""互联网服务"", ""休闲服务"", ""通用设备"", ""合成纤维及树脂"", ""电子设备制造"", ""钢铁""]",{}
30,2026-09-01,27,"[""计算机软件"", ""互联网服务"", ""农业"", ""休闲服务"", ""互联网金融""]","[""航空航天装备"", ""电子设备制造"", ""通用设备"", ""合成纤维及树脂"", ""钢铁""]",大盘处于熊市（收盘价低于EMA60），应以防御和结构性机会为主。新闻显示AI与数字经济政策密集（高盛AI资本开支、AI应用服务商培育、中国-东盟数字经济合作），利好计算机软件和互联网服务；非银金融获主力资金最大净流入，且杭州支持券商并购重组，互联网金融受益；种植业/农林牧渔领涨且农业板块60日为正，具备防御属性；七部门推动商品消费扩容升级叠加中秋消费月，休闲服务有催化。故推荐上述5个赛道。风险方面，互联网技术短期涨幅过大被否决，机器人中期趋势过弱被否决；其余追高降权的周期/制造板块缺乏新增利好，列为回避。,BEAR,,[],负,2026-09-01,退出时收益 +0.00%,2026-09-01 05:43:10,"[""互联网金融"", ""计算机软件"", ""互联网技术"", ""机器人"", ""航空航天装备"", ""农业"", ""互联网服务"", ""休闲服务"", ""通用设备"", ""合成纤维及树脂"", ""电子设备制造"", ""钢铁""]",{}
31,2026-09-02,28,"[""航空航天装备"", ""计算机软件"", ""消费电子设备"", ""电子设备制造""]","[""互联网金融"", ""钢铁"", ""化学原料"", ""金属非金属新材料"", ""互联网技术""]",大盘收盘位于EMA60下方，量化判定为熊市，选股优先有独立催化与资金验证的方向。新闻显示美军空袭伊朗、地缘冲突升级，国防军工相关板块获主力资金大额净流入，航空航天装备具备短期事件驱动逻辑；瑞银明确看好科技成长，A股盈利由科技板块带动，计算机软件作为科技核心赛道具备修复弹性；消费电子设备、电子设备制造受益于消费刺激政策与主力资金流入消费电子，且基金覆盖广、趋势相对稳健。回避方向：互联网金融受债市危机和资金面收紧影响较大；钢铁、化学原料属周期且追高降权，缺乏政策支撑；金属非金属新材料、互联网技术60日趋势偏弱。,BEAR,,[],待定,,,2026-09-02 05:46:41,"[""互联网金融"", ""计算机软件"", ""航空航天装备"", ""钢铁"", ""互联网技术"", ""化学原料"", ""消费电子设备"", ""计算机硬件"", ""光电子器件"", ""金属非金属新材料"", ""电子设备制造"", ""互联网服务""]",
